index,time_s,acc,vel,s,X,Y,Z,L_raw,L_trim,ux,uy,uz
36,0.018000000,180.000000000,17.829300531,0.301487410,99.644097060,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
37,0.018500000,185.000000000,17.920550531,0.310424768,99.635159701,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
38,0.019000000,190.000000000,18.014300531,0.319408377,99.626176093,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
39,0.019500000,195.000000000,18.110550531,0.328439485,99.617144984,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
40,0.020000000,200.000000000,18.209300531,0.337519344,99.608065126,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
41,0.020500000,205.000000000,18.310550531,0.346649203,99.598935267,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
42,0.021000000,210.000000000,18.414300531,0.355830311,99.589754158,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
43,0.021500000,215.000000000,18.520550531,0.365063920,99.580520550,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
44,0.022000000,220.000000000,18.629300531,0.374351278,99.571233191,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
45,0.022500000,225.000000000,18.740550531,0.383693637,99.561890833,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
46,0.023000000,230.000000000,18.854300531,0.393092246,99.552492224,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
47,0.023500000,235.000000000,18.970550531,0.402548354,99.543036115,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
48,0.024000000,240.000000000,19.089300531,0.412063213,99.533521257,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
49,0.024500000,245.000000000,19.210550531,0.421638071,99.523946398,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
50,0.025000000,250.000000000,19.334300531,0.431274180,99.514310290,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
51,0.025500000,255.000000000,19.460550531,0.440972789,99.504611681,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
52,0.026000000,260.000000000,19.589300531,0.450735147,99.494849322,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
53,0.026500000,265.000000000,19.720550531,0.460562506,99.485021964,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
54,0.027000000,270.000000000,19.854300531,0.470456114,99.475128355,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
55,0.027500000,275.000000000,19.990550531,0.480417223,99.465167247,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
56,0.028000000,280.000000000,20.129300531,0.490447082,99.455137388,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
57,0.028500000,285.000000000,20.270550531,0.500546940,99.445037529,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
58,0.029000000,290.000000000,20.414300531,0.510718049,99.434866421,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
59,0.029500000,295.000000000,20.560550531,0.520961657,99.424622812,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
60,0.030000000,300.000000000,20.709300531,0.531279016,99.414305454,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
61,0.030500000,305.000000000,20.860550531,0.541671375,99.403913095,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
62,0.031000000,310.000000000,21.014300531,0.552139983,99.393444486,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
63,0.031500000,315.000000000,21.170550531,0.562686092,99.382898378,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
64,0.032000000,320.000000000,21.329300531,0.573310950,99.372273519,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
65,0.032500000,325.000000000,21.490550531,0.584015809,99.361568661,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
66,0.033000000,330.000000000,21.654300531,0.594801918,99.350782552,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
67,0.033500000,335.000000000,21.820550531,0.605670526,99.339913943,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
68,0.034000000,340.000000000,21.989300531,0.616622885,99.328961585,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
69,0.034500000,345.000000000,22.160550531,0.627660243,99.317924226,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
70,0.035000000,350.000000000,22.334300531,0.638783852,99.306800618,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
71,0.035500000,355.000000000,22.510550531,0.649994961,99.295589509,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
72,0.036000000,360.000000000,22.689300531,0.661294819,99.284289650,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
73,0.036500000,365.000000000,22.870550531,0.672684678,99.272899792,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
74,0.037000000,370.000000000,23.054300531,0.684165786,99.261418683,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
75,0.037500000,375.000000000,23.240550531,0.695739395,99.249845075,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
76,0.038000000,380.000000000,23.429300531,0.707406753,99.238177716,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
77,0.038500000,385.000000000,23.620550531,0.719169112,99.226415357,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
78,0.039000000,390.000000000,23.814300531,0.731027721,99.214556749,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
79,0.039500000,395.000000000,24.010550531,0.742983829,99.202600640,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
80,0.040000000,400.000000000,24.209300531,0.755038688,99.190545782,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
81,0.040500000,405.000000000,24.410550531,0.767193546,99.178390923,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
82,0.041000000,410.000000000,24.614300531,0.779449655,99.166134814,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
83,0.041500000,415.000000000,24.820550531,0.791808264,99.153776206,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
84,0.042000000,420.000000000,25.029300531,0.804270622,99.141313847,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
85,0.042500000,425.000000000,25.240550531,0.816837981,99.128746489,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
86,0.043000000,430.000000000,25.454300531,0.829511589,99.116072880,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
87,0.043500000,435.000000000,25.670550531,0.842292698,99.103291771,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
88,0.044000000,440.000000000,25.889300531,0.855182557,99.090401913,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
89,0.044500000,445.000000000,26.110550531,0.868182415,99.077402054,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
90,0.045000000,450.000000000,26.334300531,0.881293524,99.064290946,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
91,0.045500000,455.000000000,26.560550531,0.894517132,99.051067337,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
92,0.046000000,460.000000000,26.789300531,0.907854491,99.037729978,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
93,0.046500000,465.000000000,27.020550531,0.921306850,99.024277620,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
94,0.047000000,470.000000000,27.254300531,0.934875458,99.010709011,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
95,0.047500000,475.000000000,27.490550531,0.948561567,98.997022903,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
96,0.048000000,480.000000000,27.729300531,0.962366425,98.983218044,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
97,0.048500000,485.000000000,27.970550531,0.976291284,98.969293185,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
98,0.049000000,490.000000000,28.214300531,0.990337393,98.955247077,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
99,0.049500000,495.000000000,28.460550531,1.004506001,98.941078468,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
100,0.050000000,500.000000000,28.709300531,1.018798360,98.926786110,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
101,0.050500000,505.000000000,28.960550531,1.033215718,98.912368751,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
102,0.051000000,510.000000000,29.214300531,1.047759327,98.897825142,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
103,0.051500000,515.000000000,29.470550531,1.062430436,98.883154034,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
104,0.052000000,520.000000000,29.729300531,1.077230294,98.868354175,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
105,0.052500000,525.000000000,29.990550531,1.092160153,98.853424317,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
106,0.053000000,530.000000000,30.254300531,1.107221261,98.838363208,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
107,0.053500000,535.000000000,30.520550531,1.122414870,98.823169599,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
108,0.054000000,540.000000000,30.789300531,1.137742229,98.807842241,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
109,0.054500000,545.000000000,31.060550531,1.153204587,98.792379882,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
110,0.055000000,550.000000000,31.334300531,1.168803196,98.776781274,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
111,0.055500000,555.000000000,31.610550531,1.184539304,98.761045165,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
112,0.056000000,560.000000000,31.889300531,1.200414163,98.745170306,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
113,0.056500000,565.000000000,32.170550531,1.216429022,98.729155448,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
114,0.057000000,570.000000000,32.454300531,1.232585130,98.712999339,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
115,0.057500000,575.000000000,32.740550531,1.248883739,98.696700731,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
116,0.058000000,580.000000000,33.029300531,1.265326097,98.680258372,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
117,0.058500000,585.000000000,33.320550531,1.281913456,98.663671013,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
