index,time_s,acc,vel,pos
0,0.000000000,0.000000000,0.000000000,0.000000000
1,0.000500000,5.000000000,0.001250000,0.000000208
2,0.001000000,10.000000000,0.005000000,0.000001667
3,0.001500000,15.000000000,0.011250000,0.000005625
4,0.002000000,20.000000000,0.020000000,0.000013333
5,0.002500000,25.000000000,0.031250000,0.000026042
6,0.003000000,30.000000000,0.045000000,0.000045000
7,0.003500000,35.000000000,0.061250000,0.000071458
8,0.004000000,40.000000000,0.080000000,0.000106667
9,0.004500000,45.000000000,0.101250000,0.000151875
10,0.005000000,50.000000000,0.125000000,0.000208333
11,0.005500000,55.000000000,0.151250000,0.000277292
12,0.006000000,60.000000000,0.180000000,0.000360000
13,0.006500000,65.000000000,0.211250000,0.000457708
14,0.007000000,70.000000000,0.245000000,0.000571667
15,0.007500000,75.000000000,0.281250000,0.000703125
16,0.008000000,80.000000000,0.320000000,0.000853333
17,0.008500000,85.000000000,0.361250000,0.001023542
18,0.009000000,90.000000000,0.405000000,0.001215000
19,0.009500000,95.000000000,0.451250000,0.001428958
20,0.010000000,100.000000000,0.500000000,0.001666667
21,0.010500000,105.000000000,0.551250000,0.001929375
22,0.011000000,110.000000000,0.605000000,0.002218333
23,0.011500000,115.000000000,0.661250000,0.002534792
24,0.012000000,120.000000000,0.720000000,0.002880000
25,0.012500000,125.000000000,0.781250000,0.003255208
26,0.013000000,130.000000000,0.845000000,0.003661667
27,0.013500000,135.000000000,0.911250000,0.004100625
28,0.014000000,140.000000000,0.980000000,0.004573333
29,0.014500000,145.000000000,1.051250000,0.005081042
30,0.015000000,150.000000000,1.125000000,0.005625000
31,0.015500000,155.000000000,1.201250000,0.006206458
32,0.016000000,160.000000000,1.280000000,0.006826667
33,0.016500000,165.000000000,1.361250000,0.007486875
34,0.017000000,170.000000000,1.445000000,0.008188333
35,0.017500000,175.000000000,1.531250000,0.008932292
36,0.018000000,180.000000000,1.620000000,0.009720000
37,0.018500000,185.000000000,1.711250000,0.010552708
38,0.019000000,190.000000000,1.805000000,0.011431667
39,0.019500000,195.000000000,1.901250000,0.012358125
40,0.020000000,200.000000000,2.000000000,0.013333333
41,0.020500000,205.000000000,2.101250000,0.014358542
42,0.021000000,210.000000000,2.205000000,0.015435000
43,0.021500000,215.000000000,2.311250000,0.016563958
44,0.022000000,220.000000000,2.420000000,0.017746667
45,0.022500000,225.000000000,2.531250000,0.018984375
46,0.023000000,230.000000000,2.645000000,0.020278333
47,0.023500000,235.000000000,2.761250000,0.021629792
48,0.024000000,240.000000000,2.880000000,0.023040000
49,0.024500000,245.000000000,3.001250000,0.024510208
50,0.025000000,250.000000000,3.125000000,0.026041667
51,0.025500000,255.000000000,3.251250000,0.027635625
52,0.026000000,260.000000000,3.380000000,0.029293333
53,0.026500000,265.000000000,3.511250000,0.031016042
54,0.027000000,270.000000000,3.645000000,0.032805000
55,0.027500000,275.000000000,3.781250000,0.034661458
